facility_name,suburb,postcode,lat,long,formatted_address
MEREDITH POLICE STATION,Meredith,3333,-37.846513337999966,144.07573476400012,14 WILSON STREET
MERINO POLICE STATION,Merino,3310,-37.72027102499993,141.54994778700006,22 ANNESLEY STREET
MERNDA POLICE STATION,Mernda,3754,-37.60053856199994,145.09254489400007,542 BRIDGE INN ROAD
MILDURA POLICE STATION,Mildura,3500,-34.18606287799997,142.16206767500012,62-68 DEAKIN AVENUE
MILL PARK POLICE STATION,Mill Park,3082,-37.65734985399996,145.0754231850001,151 CENTENARY DRIVE
MINYIP POLICE STATION,Minyip,3392,-36.458079435999935,142.5891791670001,106 MAIN STREET
MIRBOO NORTH POLICE STATION,Mirboo North,3871,-38.400883043999954,146.15888764500005,77 RIDGWAY 
MITTA MITTA POLICE STATION,Mitta Mitta,3701,-36.53717245399997,147.3777896460001,5554 OMEO HIGHWAY
MOE POLICE STATION,Moe,3825,-38.17609556299993,146.26521624600002,3 ANZAC STREET
MONBULK POLICE STATION,Monbulk,3793,-37.87524105999995,145.40769628200007,58 MAIN ROAD
MOONEE PONDS POLICE STATION,Moonee Ponds,3039,-37.76471230599998,144.9240784640001,766 MT ALEXANDER ROAD
MOORABBIN POLICE STATION,Moorabbin,3189,-37.93739473599993,145.03822237400004,1013 NEPEAN HIGHWAY
MOOROOLBARK POLICE STATION,Mooroolbark,3138,-37.789537725999935,145.31053496100003,188-190 HULL ROAD
MOOROOPNA POLICE STATION,Mooroopna,3629,-36.39542601699998,145.3561205520001,119 MCLENNAN STREET
MORDIALLOC POLICE STATION,Mordialloc,3195,-38.00377788299994,145.08624021000003,31 ALBERT STREET
MORNINGTON POLICE STATION,Mornington,3931,-38.21650756899993,145.03683647600008,UNIT 1 10 MAIN STREET
LILYDALE POLICE STATION,Lilydale,3140,-37.755603391999955,145.34239580300004,6 ALBERT HILL ROAD
LINTON POLICE STATION,Linton,3360,-37.68744467099998,143.56187256500004,UNIT 3 82 SUSSEX STREET
LISMORE POLICE STATION,Lismore,3324,-37.95328630999995,143.33976605100008,69 HIGH STREET
LOCH POLICE STATION,Loch,3945,-38.36867268099997,145.7037161510001,10 VICTORIA ROAD
LOCH SPORT POLICE STATION,Loch Sport,3851,-38.057999923999944,147.56734778100008,5079 LONGFORD-LOCH SPORT ROAD
LORNE POLICE STATION,Lorne,3232,-38.54085077299993,143.9737497640001,44 SMITH STREET
MACARTHUR POLICE STATION,Macarthur,3286,-38.03248849799997,142.00084800900004,12 MARKET STREET
MACEDON POLICE STATION,Macedon,3440,-37.42292178799994,144.56776918100002,61 VICTORIA STREET
MORTLAKE POLICE STATION,Mortlake,3272,-38.08161942099997,142.8081421830001,32 OFFICER STREET
MORWELL POLICE STATION,Morwell,3840,-38.23729254299997,146.3944172690001,8-10 HAZELWOOD ROAD
MOUNT BEAUTY POLICE STATION,Mount Beauty,3699,-36.74397447599995,147.17137472600007,2 PARK STREET
MOUNT BULLER POLICE STATION,Mount Buller,3723,-37.14633098899998,146.45140813900002,1 CHAMOIS CLOSE
MOUNT EVELYN POLICE STATION,Mount Evelyn,3796,-37.78714536799998,145.3805476430001,17 YORK ROAD
MOUNT WAVERLEY POLICE STATION,Mount Waverley,3149,-37.880457691999936,145.12834340000006,338 STEPHENSONS ROAD
MOYHU POLICE STATION,Moyhu,3732,-36.57816507299998,146.37517038800002,31 BARTLEY STREET
MURCHISON POLICE STATION,Murchison,3610,-36.618133899999975,145.2159066580001,8 WATSON STREET
MURRAYVILLE POLICE STATION,Murrayville,3512,-35.26410082599995,141.18265245600003,13 REED STREET
MURTOA POLICE STATION,Murtoa,3390,-36.616725895999934,142.4698754320001,5 CROMIE STREET
MYRTLEFORD POLICE STATION,Myrtleford,3737,-36.56050573799996,146.72675502800007,3 QUEEN STREET
NAGAMBIE POLICE STATION,Nagambie,3608,-36.78759829399996,145.15441114500004,14 FILSON STREET
NARRE WARREN POLICE STATION,Narre Warren,3805,-38.02598223799998,145.31117643700009,1-7 COVENTRY ROAD
NATHALIA POLICE STATION,Nathalia,3638,-36.05975287999996,145.2034193730001,66 BLAKE STREET
NATIMUK POLICE STATION,Natimuk,3409,-36.73973366799993,141.94704460000003,37 MAIN STREET
