location_id,period_of_time,sensor_description,sensor_name,latitude,longitude,total_pedestrian_count,hours_covered,days_covered,suburb,postcode
29,2. Morning (6am-12pm),St Kilda Rd-Alexandra Gardens,AG_T,-37.8199817,144.96872865,669768,2184,365,Melbourne,3000
29,3. Afternoon (12pm-6pm),St Kilda Rd-Alexandra Gardens,AG_T,-37.8199817,144.96872865,1546303,2188,365,Melbourne,3000
29,4. Night (6pm-12am),St Kilda Rd-Alexandra Gardens,AG_T,-37.8199817,144.96872865,1021853,2180,365,Melbourne,3000
30,1. Late Night (12am-6am),Lonsdale St (South),Lon189_T,-37.8112185,144.96656806,337677,2188,365,Melbourne,3000
30,2. Morning (6am-12pm),Lonsdale St (South),Lon189_T,-37.8112185,144.96656806,449920,2189,365,Melbourne,3000
30,3. Afternoon (12pm-6pm),Lonsdale St (South),Lon189_T,-37.8112185,144.96656806,1483109,2186,365,Melbourne,3000
30,4. Night (6pm-12am),Lonsdale St (South),Lon189_T,-37.8112185,144.96656806,1408632,2190,365,Melbourne,3000
31,1. Late Night (12am-6am),Lygon St (West),Lyg161_T,-37.80169681,144.96658911,23419,1075,364,Carlton,3053
31,2. Morning (6am-12pm),Lygon St (West),Lyg161_T,-37.80169681,144.96658911,205741,1453,365,Carlton,3053
31,3. Afternoon (12pm-6pm),Lygon St (West),Lyg161_T,-37.80169681,144.96658911,697013,2186,365,Carlton,3053
31,4. Night (6pm-12am),Lygon St (West),Lyg161_T,-37.80169681,144.96658911,796860,2190,365,Carlton,3053
35,1. Late Night (12am-6am),Southbank,SouthB_T,-37.82018685,144.96508508,303296,2188,365,Southbank,3006
35,2. Morning (6am-12pm),Southbank,SouthB_T,-37.82018685,144.96508508,2763418,2190,365,Southbank,3006
35,3. Afternoon (12pm-6pm),Southbank,SouthB_T,-37.82018685,144.96508508,5382392,2190,365,Southbank,3006
35,4. Night (6pm-12am),Southbank,SouthB_T,-37.82018685,144.96508508,4045375,2190,365,Southbank,3006
36,1. Late Night (12am-6am),Queen St (West),Que85_T,-37.81652527,144.96121062,130764,2174,365,Melbourne,3000
36,2. Morning (6am-12pm),Queen St (West),Que85_T,-37.81652527,144.96121062,469754,2189,365,Melbourne,3000
36,3. Afternoon (12pm-6pm),Queen St (West),Que85_T,-37.81652527,144.96121062,901005,2186,365,Melbourne,3000
36,4. Night (6pm-12am),Queen St (West),Que85_T,-37.81652527,144.96121062,479776,2190,365,Melbourne,3000
37,1. Late Night (12am-6am),Lygon St (East),Lyg260_T,-37.80107122,144.96704554,39725,2169,365,Carlton,3053
37,2. Morning (6am-12pm),Lygon St (East),Lyg260_T,-37.80107122,144.96704554,169245,2156,365,Carlton,3053
37,3. Afternoon (12pm-6pm),Lygon St (East),Lyg260_T,-37.80107122,144.96704554,382041,1732,333,Carlton,3053
37,4. Night (6pm-12am),Lygon St (East),Lyg260_T,-37.80107122,144.96704554,159788,999,365,Carlton,3053
39,1. Late Night (12am-6am),Alfred Place,AlfPl_T,-37.81379749,144.96995745,9865,1392,339,Melbourne,3000
39,2. Morning (6am-12pm),Alfred Place,AlfPl_T,-37.81379749,144.96995745,271474,2115,357,Melbourne,3000
39,3. Afternoon (12pm-6pm),Alfred Place,AlfPl_T,-37.81379749,144.96995745,437355,2104,353,Melbourne,3000
39,4. Night (6pm-12am),Alfred Place,AlfPl_T,-37.81379749,144.96995745,116084,2074,353,Melbourne,3000
40,1. Late Night (12am-6am),Lonsdale St-Spring St (West),Spr201_T,-37.80999341,144.97227587,30929,2029,345,Melbourne,3000
40,2. Morning (6am-12pm),Lonsdale St-Spring St (West),Spr201_T,-37.80999341,144.97227587,580086,2065,345,Melbourne,3000
40,3. Afternoon (12pm-6pm),Lonsdale St-Spring St (West),Spr201_T,-37.80999341,144.97227587,924607,2064,345,Melbourne,3000
40,4. Night (6pm-12am),Lonsdale St-Spring St (West),Spr201_T,-37.80999341,144.97227587,394615,2073,346,Melbourne,3000
41,1. Late Night (12am-6am),Flinders La-Swanston St (West),Swa31,-37.81668634,144.96689733,172146,1053,348,Melbourne,3000
41,2. Morning (6am-12pm),Flinders La-Swanston St (West),Swa31,-37.81668634,144.96689733,1652618,1391,349,Melbourne,3000
41,3. Afternoon (12pm-6pm),Flinders La-Swanston St (West),Swa31,-37.81668634,144.96689733,4776612,2088,349,Melbourne,3000
41,4. Night (6pm-12am),Flinders La-Swanston St (West),Swa31,-37.81668634,144.96689733,2652882,2094,349,Melbourne,3000
42,1. Late Night (12am-6am),Grattan St-Swanston St (West),UM1_T,-37.80008566,144.96386412,11013,1199,313,Parkville,3052
42,2. Morning (6am-12pm),Grattan St-Swanston St (West),UM1_T,-37.80008566,144.96386412,368868,1817,307,Parkville,3052
42,3. Afternoon (12pm-6pm),Grattan St-Swanston St (West),UM1_T,-37.80008566,144.96386412,716846,1623,285,Parkville,3052
42,4. Night (6pm-12am),Grattan St-Swanston St (West),UM1_T,-37.80008566,144.96386412,231492,1593,275,Parkville,3052
43,1. Late Night (12am-6am),Monash Rd-Swanston St (West),UM2_T,-37.79844526,144.96411782,13151,1792,351,Parkville,3052
43,2. Morning (6am-12pm),Monash Rd-Swanston St (West),UM2_T,-37.79844526,144.96411782,306121,2099,351,Parkville,3052
43,3. Afternoon (12pm-6pm),Monash Rd-Swanston St (West),UM2_T,-37.79844526,144.96411782,655694,2106,352,Parkville,3052
43,4. Night (6pm-12am),Monash Rd-Swanston St (West),UM2_T,-37.79844526,144.96411782,250039,2106,352,Parkville,3052
44,1. Late Night (12am-6am),Tin Alley-Swanston St (West),UM3_T,-37.79698741,144.96441306,4629,1237,334,Parkville,3052
44,2. Morning (6am-12pm),Tin Alley-Swanston St (West),UM3_T,-37.79698741,144.96441306,151398,2013,342,Parkville,3052
44,3. Afternoon (12pm-6pm),Tin Alley-Swanston St (West),UM3_T,-37.79698741,144.96441306,305430,2017,337,Parkville,3052
44,4. Night (6pm-12am),Tin Alley-Swanston St (West),UM3_T,-37.79698741,144.96441306,103757,2010,336,Parkville,3052
45,1. Late Night (12am-6am),Little Collins St-Swanston St (East),Swa148_T,-37.81414075,144.96609379,187019,2187,365,Melbourne,3000
45,2. Morning (6am-12pm),Little Collins St-Swanston St (East),Swa148_T,-37.81414075,144.96609379,1055654,2189,365,Melbourne,3000
45,3. Afternoon (12pm-6pm),Little Collins St-Swanston St (East),Swa148_T,-37.81414075,144.96609379,3204780,2186,365,Melbourne,3000
45,4. Night (6pm-12am),Little Collins St-Swanston St (East),Swa148_T,-37.81414075,144.96609379,1930514,2190,365,Melbourne,3000
46,1. Late Night (12am-6am),Pelham St (South),Pel147_T,-37.80240719,144.9615673,5851,1077,317,Carlton,3053
46,2. Morning (6am-12pm),Pelham St (South),Pel147_T,-37.80240719,144.9615673,169331,1986,333,Carlton,3053
46,3. Afternoon (12pm-6pm),Pelham St (South),Pel147_T,-37.80240719,144.9615673,352230,1992,332,Carlton,3053
46,4. Night (6pm-12am),Pelham St (South),Pel147_T,-37.80240719,144.9615673,111268,1905,334,Carlton,3053
47,1. Late Night (12am-6am),Melbourne Central-Elizabeth St (East),Eli250_T,-37.81258467,144.9625775,225036,2183,365,Melbourne,3000
47,2. Morning (6am-12pm),Melbourne Central-Elizabeth St (East),Eli250_T,-37.81258467,144.9625775,1480106,2186,365,Melbourne,3000
47,3. Afternoon (12pm-6pm),Melbourne Central-Elizabeth St (East),Eli250_T,-37.81258467,144.9625775,3971915,2186,365,Melbourne,3000
47,4. Night (6pm-12am),Melbourne Central-Elizabeth St (East),Eli250_T,-37.81258467,144.9625775,2046788,2190,365,Melbourne,3000
48,1. Late Night (12am-6am),QVM-Queen St (East),QVMQ_T,-37.80631581,144.95866697,26617,1192,202,Melbourne,3000
48,2. Morning (6am-12pm),QVM-Queen St (East),QVMQ_T,-37.80631581,144.95866697,581095,2037,364,Melbourne,3000
48,3. Afternoon (12pm-6pm),QVM-Queen St (East),QVMQ_T,-37.80631581,144.95866697,1133192,2174,364,Melbourne,3000
48,4. Night (6pm-12am),QVM-Queen St (East),QVMQ_T,-37.80631581,144.95866697,453261,1969,363,Melbourne,3000
49,1. Late Night (12am-6am),QVM-Therry St (South),Eli501_T,-37.80730068,144.95956055,148556,2188,365,Melbourne,3000
49,2. Morning (6am-12pm),QVM-Therry St (South),Eli501_T,-37.80730068,144.95956055,763711,2189,365,Melbourne,3000
49,3. Afternoon (12pm-6pm),QVM-Therry St (South),Eli501_T,-37.80730068,144.95956055,1482778,2187,365,Melbourne,3000
49,4. Night (6pm-12am),QVM-Therry St (South),Eli501_T,-37.80730068,144.95956055,756961,2190,365,Melbourne,3000
50,1. Late Night (12am-6am),Faraday St-Lygon St (West),Lyg309_T,-37.79808192,144.96721013,21932,2097,365,Carlton,3053
50,2. Morning (6am-12pm),Faraday St-Lygon St (West),Lyg309_T,-37.79808192,144.96721013,348472,2189,365,Carlton,3053
50,3. Afternoon (12pm-6pm),Faraday St-Lygon St (West),Lyg309_T,-37.79808192,144.96721013,911315,2186,365,Carlton,3053
50,4. Night (6pm-12am),Faraday St-Lygon St (West),Lyg309_T,-37.79808192,144.96721013,636159,2190,365,Carlton,3053
51,1. Late Night (12am-6am),QVM-Franklin St (North),Fra118_T,-37.80841815,144.95906316,20021,1055,365,Melbourne,3000
51,2. Morning (6am-12pm),QVM-Franklin St (North),Fra118_T,-37.80841815,144.95906316,194454,1433,365,Melbourne,3000
51,3. Afternoon (12pm-6pm),QVM-Franklin St (North),Fra118_T,-37.80841815,144.95906316,490399,2185,365,Melbourne,3000
51,4. Night (6pm-12am),QVM-Franklin St (North),Fra118_T,-37.80841815,144.95906316,270296,2190,365,Melbourne,3000
52,1. Late Night (12am-6am),Elizabeth St-Lonsdale St (South),Eli263_T,-37.81252157,144.9619401,75936,1540,364,Melbourne,3000
52,2. Morning (6am-12pm),Elizabeth St-Lonsdale St (South),Eli263_T,-37.81252157,144.9619401,556347,2189,365,Melbourne,3000
52,3. Afternoon (12pm-6pm),Elizabeth St-Lonsdale St (South),Eli263_T,-37.81252157,144.9619401,1538170,2187,365,Melbourne,3000
52,4. Night (6pm-12am),Elizabeth St-Lonsdale St (South),Eli263_T,-37.81252157,144.9619401,970128,2190,365,Melbourne,3000
53,1. Late Night (12am-6am),Collins Street (North),Col254_T,-37.81564191,144.965499,54675,2041,342,Melbourne,3000
53,2. Morning (6am-12pm),Collins Street (North),Col254_T,-37.81564191,144.965499,1132367,2047,344,Melbourne,3000
53,3. Afternoon (12pm-6pm),Collins Street (North),Col254_T,-37.81564191,144.965499,2658506,2058,343,Melbourne,3000
53,4. Night (6pm-12am),Collins Street (North),Col254_T,-37.81564191,144.965499,762815,2052,342,Melbourne,3000
54,1. Late Night (12am-6am),Lincoln-Swanston (West),Swa607_T,-37.804024,144.96308399,49578,1956,329,Carlton,3053
54,2. Morning (6am-12pm),Lincoln-Swanston (West),Swa607_T,-37.804024,144.96308399,281884,1965,331,Carlton,3053
54,3. Afternoon (12pm-6pm),Lincoln-Swanston (West),Swa607_T,-37.804024,144.96308399,686676,1971,331,Carlton,3053
54,4. Night (6pm-12am),Lincoln-Swanston (West),Swa607_T,-37.804024,144.96308399,438493,1974,329,Carlton,3053
56,1. Late Night (12am-6am),Lonsdale St - Elizabeth St (North),Lon364_T,-37.81234775,144.96153311,117968,2060,345,Melbourne,3000
56,2. Morning (6am-12pm),Lonsdale St - Elizabeth St (North),Lon364_T,-37.81234775,144.96153311,542516,2061,346,Melbourne,3000
56,3. Afternoon (12pm-6pm),Lonsdale St - Elizabeth St (North),Lon364_T,-37.81234775,144.96153311,1408037,2068,347,Melbourne,3000
56,4. Night (6pm-12am),Lonsdale St - Elizabeth St (North),Lon364_T,-37.81234775,144.96153311,1057822,2073,346,Melbourne,3000
58,1. Late Night (12am-6am),Bourke St - Spencer St (North),Bou688_T,-37.81686075,144.95358075,153431,1973,330,Melbourne,3000
58,2. Morning (6am-12pm),Bourke St - Spencer St (North),Bou688_T,-37.81686075,144.95358075,1608560,1976,330,Melbourne,3000
58,3. Afternoon (12pm-6pm),Bourke St - Spencer St (North),Bou688_T,-37.81686075,144.95358075,2447409,1972,330,Melbourne,3000
58,4. Night (6pm-12am),Bourke St - Spencer St (North),Bou688_T,-37.81686075,144.95358075,1183060,1977,330,Melbourne,3000
59,1. Late Night (12am-6am),Building 80 RMIT,RMIT_T,-37.80825648,144.96304859,120031,2188,365,Melbourne,3000
59,2. Morning (6am-12pm),Building 80 RMIT,RMIT_T,-37.80825648,144.96304859,1303950,2189,365,Melbourne,3000
59,3. Afternoon (12pm-6pm),Building 80 RMIT,RMIT_T,-37.80825648,144.96304859,3044055,2188,365,Melbourne,3000
59,4. Night (6pm-12am),Building 80 RMIT,RMIT_T,-37.80825648,144.96304859,1226551,2190,365,Melbourne,3000
61,1. Late Night (12am-6am),RMIT Building 14,RMIT14_T,-37.80767455,144.96309114,46301,923,365,Melbourne,3000
61,2. Morning (6am-12pm),RMIT Building 14,RMIT14_T,-37.80767455,144.96309114,805347,1352,365,Melbourne,3000
61,3. Afternoon (12pm-6pm),RMIT Building 14,RMIT14_T,-37.80767455,144.96309114,2437972,2190,365,Melbourne,3000
61,4. Night (6pm-12am),RMIT Building 14,RMIT14_T,-37.80767455,144.96309114,1267584,2190,365,Melbourne,3000
62,1. Late Night (12am-6am),La Trobe St (North),Lat224_T,-37.80996494,144.96216521,47587,1163,365,Melbourne,3000
62,2. Morning (6am-12pm),La Trobe St (North),Lat224_T,-37.80996494,144.96216521,433675,2190,365,Melbourne,3000
62,3. Afternoon (12pm-6pm),La Trobe St (North),Lat224_T,-37.80996494,144.96216521,985748,2190,365,Melbourne,3000
62,4. Night (6pm-12am),La Trobe St (North),Lat224_T,-37.80996494,144.96216521,734626,2190,365,Melbourne,3000
63,1. Late Night (12am-6am),231 Bourke St,Bou231_T,-37.81333081,144.96675571,105964,2073,347,Melbourne,3000
63,2. Morning (6am-12pm),231 Bourke St,Bou231_T,-37.81333081,144.96675571,601060,2082,347,Melbourne,3000
63,3. Afternoon (12pm-6pm),231 Bourke St,Bou231_T,-37.81333081,144.96675571,1677331,2088,348,Melbourne,3000
63,4. Night (6pm-12am),231 Bourke St,Bou231_T,-37.81333081,144.96675571,847186,2088,348,Melbourne,3000
65,1. Late Night (12am-6am),Swanston St - City Square,SwaCs_T,-37.81569416,144.9668064,74785,1133,189,Melbourne,3000
65,2. Morning (6am-12pm),Swanston St - City Square,SwaCs_T,-37.81569416,144.9668064,710692,1122,190,Melbourne,3000
65,3. Afternoon (12pm-6pm),Swanston St - City Square,SwaCs_T,-37.81569416,144.9668064,1714280,1134,190,Melbourne,3000
65,4. Night (6pm-12am),Swanston St - City Square,SwaCs_T,-37.81569416,144.9668064,737774,1130,189,Melbourne,3000
66,1. Late Night (12am-6am),State Library - New,QVN_T,-37.81057846,144.96444294,200403,2188,365,Melbourne,3000
66,2. Morning (6am-12pm),State Library - New,QVN_T,-37.81057846,144.96444294,1411671,2190,365,Melbourne,3000
66,3. Afternoon (12pm-6pm),State Library - New,QVN_T,-37.81057846,144.96444294,5557043,2190,365,Melbourne,3000
66,4. Night (6pm-12am),State Library - New,QVN_T,-37.81057846,144.96444294,3234938,2190,365,Melbourne,3000
67,1. Late Night (12am-6am),Flinders Ln -Degraves St (South),FLDegS_T,-37.81688755,144.96562569,65656,2184,365,Melbourne,3000
67,2. Morning (6am-12pm),Flinders Ln -Degraves St (South),FLDegS_T,-37.81688755,144.96562569,1113845,2190,365,Melbourne,3000
67,3. Afternoon (12pm-6pm),Flinders Ln -Degraves St (South),FLDegS_T,-37.81688755,144.96562569,2133112,2190,365,Melbourne,3000
67,4. Night (6pm-12am),Flinders Ln -Degraves St (South),FLDegS_T,-37.81688755,144.96562569,1002509,2190,365,Melbourne,3000
68,1. Late Night (12am-6am),Flinders Ln -Degraves St (North),FLDegN_T,-37.8168479,144.96559789,6139,1285,354,Melbourne,3000
68,2. Morning (6am-12pm),Flinders Ln -Degraves St (North),FLDegN_T,-37.8168479,144.96559789,499569,2176,365,Melbourne,3000
68,3. Afternoon (12pm-6pm),Flinders Ln -Degraves St (North),FLDegN_T,-37.8168479,144.96559789,989177,2190,365,Melbourne,3000
68,4. Night (6pm-12am),Flinders Ln -Degraves St (North),FLDegN_T,-37.8168479,144.96559789,314252,2185,365,Melbourne,3000
