latitude,longitude,ext_id,emitted_lux_level,postcode,locality
-37.819415000104904,144.94750299959105,105899,11.73,3008,DOCKLANDS
-37.819416999845025,144.9475060000983,105898,12.121,3008,DOCKLANDS
-37.819420000183776,144.9475099998527,105897,12.708,3008,DOCKLANDS
-37.81942299991345,144.94751200022236,105896,13.196,3008,DOCKLANDS
-37.81942599994755,144.94751500028474,105895,14.565,3008,DOCKLANDS
-37.81942800026389,144.94751699993967,105894,16.618,3008,DOCKLANDS
-37.819431000297875,144.94752000000244,105893,18.964,3008,DOCKLANDS
-37.81943400002741,144.94752200037274,105892,20.723,3008,DOCKLANDS
-37.81943700006127,144.947525000436,105891,21.603,3008,DOCKLANDS
-37.81944000009507,144.94752800049946,105890,26.1,3008,DOCKLANDS
-37.81944299980467,144.94752999973488,105889,28.544,3008,DOCKLANDS
-37.81944599983835,144.9475329997988,105888,29.814,3008,DOCKLANDS
-37.819448000174205,144.9475350005902,105887,31.085,3008,DOCKLANDS
-37.819451000187975,144.94753799951903,105886,34.897,3008,DOCKLANDS
-37.819453999917215,144.94753999989058,105885,39.589,3008,DOCKLANDS
-37.8194570002549,144.94754399964842,105884,42.424,3008,DOCKLANDS
-37.81946100000569,144.94754800012197,105883,43.597,3008,DOCKLANDS
-37.81946400034311,144.9475519998805,105882,42.815,3008,DOCKLANDS
-37.81946699977965,144.9475559996643,105881,41.838,3008,DOCKLANDS
-37.819469999812725,144.9475589997302,105880,39.492,3008,DOCKLANDS
-37.81947300016959,144.94756300062514,105879,38.319,3008,DOCKLANDS
-37.81947599960577,144.94756700040986,105878,36.95,3008,DOCKLANDS
-37.8194800002368,144.94757099972526,105877,33.04,3008,DOCKLANDS
-37.81948299969254,144.94757500064617,105876,29.423,3008,DOCKLANDS
-37.81948599970535,144.94757799957802,105875,28.25,3008,DOCKLANDS
-37.81948900006161,144.94758200047457,105874,24.927,3008,DOCKLANDS
-37.819491999497195,144.94758600026094,105873,21.994,3008,DOCKLANDS
-37.819495999823765,144.94758899988463,105872,18.768,3008,DOCKLANDS
-37.81949899955222,144.94759100025942,105871,16.911,3008,DOCKLANDS
-37.81950199958444,144.94759400032802,105870,15.152,3008,DOCKLANDS
-37.81950500019377,144.94759599954276,105869,14.272,3008,DOCKLANDS
-37.81950800022589,144.9475989996118,105868,13.881,3008,DOCKLANDS
-37.81951099995418,144.94760099998734,105867,13.783,3008,DOCKLANDS
-37.8195150002804,144.94760399961257,105866,13.685,3008,DOCKLANDS
-37.819518000008614,144.94760599998847,105865,13.587,3008,DOCKLANDS
-37.8195210000405,144.94760900005846,105864,13.881,3008,DOCKLANDS
-37.81952399976864,144.94761100043468,105863,14.076,3008,DOCKLANDS
-37.81952699980041,144.9476140005051,105862,15.543,3008,DOCKLANDS
-37.81952999981231,144.9476169994403,105861,19.648,3008,DOCKLANDS
-37.819532999843936,144.94761999951118,105860,27.566,3008,DOCKLANDS
-37.819536000198866,144.94762400041196,105859,32.942,3008,DOCKLANDS
-37.81953799991631,144.94762699979188,105858,39.687,3008,DOCKLANDS
-37.81954100025122,144.94763099955773,105857,54.936,3008,DOCKLANDS
-37.81954400028251,144.94763399962963,105856,68.915,3008,DOCKLANDS
-37.81954600032297,144.9476379998399,105855,78.006,3008,DOCKLANDS
-37.819549000354094,144.9476409999123,105854,82.893,3008,DOCKLANDS
-37.81955199978781,144.9476449997043,105853,87.977,3008,DOCKLANDS
-37.81955399952455,144.94764800022088,105852,99.218,3008,DOCKLANDS
-37.819556999858776,144.94765199998844,105851,99.316,3008,DOCKLANDS
-37.81955999988957,144.94765500006184,105850,99.316,3008,DOCKLANDS
-37.819561999929356,144.94765900027355,105849,99.316,3008,DOCKLANDS
